Community_Area_Name,Community_Area_Number,Property_Description,Property_Name,Address,ZIP_Code,Phone_Number,Management_Company,Units,Latitude,Longitude
West Town,24,ARO,945 Western,945 N. Western Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,2,41.89889515,-87.68677643
Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,63,41.85469028,-87.65647821
Logan Square,22,Multfamily,Tierra Linda Apts.,1858 N. Spaulding Ave.,60647,773-276-5338,LUCHA,3,,
Austin,25,Senior HUD 202,Elois McCoy Village Apts.,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,41.87516676,-87.74216784
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase I,6227-29 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,67,41.781408,-87.60580712
North Lawndale,29,Multifamily,Park Douglas,1310-14 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,10,41.86433604,-87.69349569
West Englewood,67,Multifamily,Clara's Village,2115 W. 63rd St,60636,773-434-4929,Interfaith Housing Corp.,13,41.77916282,-87.6770312
Portage Park,15,Senior,The Kilpatrick Renaissance,4655 W. Burteau Ave.,60641,773-283-4655,The Renaissance Cos.,98,41.95639632,-87.74523589
Near North Side,8,Multifamily,Parkside of Old Town Phase IIA,544 W. Oak St.,60610,312-640-6032,Holsten Real Estate Dev. Corp.,111,41.90052524,-87.64295528
South Lawndale,30,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,60623,312-850-1935,The Resurrection Project,29,41.84247656,-87.71366715
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,41.76751603,-87.62717205
Near West Side,28,Multifamily,City Gardens,320 S. Maplewood Ave.,60612,844-842-2779,Interstate Realty Management Co.,76,41.87698195,-87.69022214
Near West Side,28,ARO,The Mason,180 N. Ada St.,60607,312-809-0240,Marquette Management Inc.,26,,
Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,60620,773-651-9234,East Lake Management & Development Corp.,56,41.74018636,-87.63781991
Oakland,36,Multifamily,Lakefront Phase II,4116 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,41.8195725,-87.59929085
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3341 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,16,41.89174085,-87.71055924
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,505 N. Troy St.,60612,773-227-6332,Bickerdike Apts.,6,41.89052242,-87.70502546
Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,60613,866-227-0438,Holsten Real Estate Dev. Corp.,13,41.96186585,-87.65610743
North Lawndale,29,Multifamily,Park Douglas,1255 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,5,41.86489079,-87.69444711
Washington Park,40,People with Disabilities,"Brand New Beginnings, Inc.",5801 S. Michigan Ave.,60637,773-955-5780,Harriet Tubman NFP,25,41.78915201,-87.62217908
Garfield Ridge,56,Senior,Midway Pointe Senior Living,5011 W. 47th St.,60638,872-302-4010,Perlmark Realty Management LLC,85,41.80744124,-87.74856678
Lower West Side,31,Multifamily,Casa Morelos,2015 S. Morgan St.,60608,312-666-1323,The Resurrection Project,4,41.85480194,-87.65132697
West Town,24,ARO,Luxe on Chicago,1838 W. Chicago Ave.,60622,312-424-6225,Fifield Co.,4,41.89607519,-87.67373584
Grand Boulevard,38,Multifamily,Bronzeville Family Apts.,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,41.8203495,-87.61651411
North Lawndale,29,Multifamily,Park Douglas,2639 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,5,41.86555368,-87.69250717
Woodlawn,42,Multifamily,65th Street Apts.,6600 S. Greenwood Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",42,41.77493196,-87.59987091
West Town,24,Multifamily,Borinquen Bella Apts.,"1414,1451 N. Washtenaw Ave.",60622,773-276-5338,LUCHA,23,41.90708504,-87.69461792
South Shore,43,Senior,Senior Suites of South Shore,2355 E. 67th St.,60649,773-324-2333,Senior Lifestyle Corp.,55,41.77343579,-87.56778382
Woodlawn,42,Multifamily,Trianon Lofts,803 E. 61st St.,60637,773-955-8668,Preservation Housing Management LLC,12,41.783951,-87.60584338
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3525 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,41.89169871,-87.71492195
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,41.84565291,-87.61781639
Austin,25,Multifamily,Rebecca Walker Complex,223-9 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,41.87759814,-87.76461864
Lincoln Square,4,ARO,Ravenswood Terrace,1801-15 W. Argyle St.,60640,773-444-8733,Kass Management,15,41.97235677,-87.67492225
Lower West Side,31,Multifamily,Casa Colima,1427 W. Cullerton St.,60608,312-666-1323,The Resurrection Project,3,41.8550271,-87.66233036
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,140,41.77466762,-87.6315302
East Garfiled Park,27,Multifamily,Harvest Homes,3512-46 W. Fifth Ave.,60624,312-216-5103,Realty & Mortgage Co.,36,41.87638462,-87.71361194
Logan Square,22,Multifamily,Tierra Linda Apts.,1929 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,
North Lawndale,29,Multifamily,Park Douglas,2707 W. 12th St.,60808,773-893-4800,Interstate Realty Management Co.,5,41.86642326,-87.69375381
Washington Park,40,Multifamily,St. Edmund's Oasis,300-10 E. 61st St.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,12,41.78393828,-87.61886624
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,118,41.82007455,-87.6204233
Humboldt Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338 ext. 225,LUCHA,69,41.9025858,-87.71076053
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,48,41.86736961,-87.70066623
Near West Side,28,Multifamily,Westhaven Park Phase IIA,2237 W. Maypole Ave.,60612,312-455-0009,Interstate Realty Management Co.,92,41.88380799,-87.68281702
South Chicago,46,Supportive Housing,Bettendorf Place SRO,8425 S. Saginaw Ave.,60617,773-359-4902,Alexian Brothers Bonaventure House,112,41.74195912,-87.5598599
Uptown,3,Multifamily,Uptown Preservation Apts.,927 W. Wilson Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,41.96533937,-87.65347906
Humboldt Park,23,Multifamily,Rosa Parks Apts.,521 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apts.,6,41.89090793,-87.71359179
Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,60643,773-233-1333,Senior Lifestyle Corp.,82,41.70700943,-87.64478166
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase III Tower,401 E. Bowen Ave.,60653,312-924-2100,Paul G. Stewart Assoc.,180,41.81922851,-87.61645178
Pullman,50,Senior,Pullman Suites,15 E. 112th Place,60628,773-840-3993,Triangle & Assoc.,60,41.68976374,-87.62239508
Near North Side,8,Multfamily,Parkside of Old Town IIB,1151 N. Cleveland Ave.,60622,312-944-8500,Holsten Real Estate Dev. Corp.,12,41.90298972,-87.64104289
Near South Side,33,Multifamily,Hilliard Homes Phase I,2030 S. State St.,60616,312-225-7610,Holsten Real Estate Dev. Corp.,170,41.85453503,-87.62726774
Washington Park,40,Multifamily,St. Edmund's Commons,110 E. 60th St.,60637,773-420-3328,St. Edmund's Redevelopment Corp.,54,41.78570095,-87.6217485
Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,60608,312-850-4128,CHA,68,41.86166987,-87.65963108
Grand Boulevard,38,Multifamily,Cornerstone Apts.,636 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,5,41.80413302,-87.60993412
